time,Channel 1,Pin 1 Duty Cycle,Pin 1 Power (W)
2026-03-24 19:03:30+00,281.268,66.84999999999889,16.84619999999972
2026-03-24 19:03:35+00,281.272,65.45000000000016,16.493400000000044
2026-03-24 19:03:40+00,281.272,66.4999999999992,16.7579999999998
2026-03-24 19:03:45+00,281.27,66.4999999999992,16.7579999999998
2026-03-24 19:03:50+00,281.26,68.24999999999761,17.198999999999398
2026-03-24 19:03:55+00,281.252,68.94999999999698,17.375399999999235
2026-03-24 19:04:00+00,281.244,71.39999999999475,17.992799999998674
2026-03-24 19:04:05+00,281.228,73.49999999999284,18.521999999998194
2026-03-24 19:04:10+00,281.21400000000006,76.29999999999626,19.227599999999057
2026-03-24 19:04:15+00,281.2,78.04999999999865,19.66859999999966
2026-03-24 19:04:20+00,281.18600000000004,80.49999999999642,20.285999999999095
2026-03-24 19:04:25+00,281.17600000000004,82.59999999999451,20.81519999999862
2026-03-24 19:04:30+00,281.168,83.99999999999324,21.167999999998294
2026-03-24 19:04:35+00,281.158,86.44999999999499,21.785399999998738
2026-03-24 19:04:40+00,281.15200000000004,86.79999999999666,21.873599999999158
2026-03-24 19:04:45+00,281.154,86.44999999999499,21.785399999998738
2026-03-24 19:04:50+00,281.158,85.74999999999562,21.608999999998893
2026-03-24 19:04:55+00,281.16400000000004,85.04999999999228,21.432599999998054
2026-03-24 19:05:00+00,281.17600000000004,83.29999999999387,20.991599999998453
2026-03-24 19:05:05+00,281.18,82.24999999999483,20.726999999998696
2026-03-24 19:05:10+00,281.196,79.44999999999737,20.02139999999934
2026-03-24 19:05:15+00,281.20799999999997,77.69999999999897,19.580399999999738
2026-03-24 19:05:20+00,281.22200000000004,75.24999999999324,18.962999999998296
2026-03-24 19:05:25+00,281.23400000000004,73.14999999999316,18.433799999998275
2026-03-24 19:05:30+00,281.244,71.39999999999475,17.992799999998674
2026-03-24 19:05:35+00,281.25,69.64999999999634,17.551799999999076
2026-03-24 19:05:40+00,281.258,68.5999999999973,17.28719999999932
2026-03-24 19:05:45+00,281.258,68.5999999999973,17.287199999999316
2026-03-24 19:05:50+00,281.262,68.24999999999761,17.198999999999398
2026-03-24 19:05:55+00,281.258,68.5999999999973,17.28719999999932
2026-03-24 19:06:00+00,281.25,69.29999999999666,17.463599999999154
2026-03-24 19:06:05+00,281.246,70.69999999999538,17.816399999998833
2026-03-24 19:06:10+00,281.232,72.79999999999347,18.345599999998353
2026-03-24 19:06:15+00,281.22,74.89999999999156,18.874799999997872
2026-03-24 19:06:20+00,281.206,77.34999999999928,19.49219999999982
2026-03-24 19:06:25+00,281.194,79.79999999999706,20.109599999999258
2026-03-24 19:06:30+00,281.18600000000004,80.49999999999642,20.2859999999991
2026-03-24 19:06:35+00,281.17400000000004,83.29999999999387,20.991599999998453
2026-03-24 19:06:40+00,281.168,84.34999999999292,21.256199999998216
2026-03-24 19:06:45+00,281.16400000000004,85.04999999999228,21.432599999998054
2026-03-24 19:06:50+00,281.158,86.0999999999973,21.697199999999317
2026-03-24 19:06:55+00,281.16200000000003,85.39999999999395,21.520799999998474
2026-03-24 19:07:00+00,281.16600000000005,85.04999999999427,21.43259999999856
2026-03-24 19:07:05+00,281.17,83.64999999999355,21.079799999998375
2026-03-24 19:07:10+00,281.18,81.89999999999515,20.638799999998774
2026-03-24 19:07:15+00,281.19,81.19999999999578,20.462399999998937
2026-03-24 19:07:20+00,281.202,78.39999999999833,19.75679999999958
2026-03-24 19:07:25+00,281.218,76.29999999999427,19.227599999998553
2026-03-24 19:07:30+00,281.23,73.84999999999252,18.610199999998116
2026-03-24 19:07:35+00,281.242,71.39999999999475,17.992799999998674
2026-03-24 19:07:40+00,281.25,69.99999999999602,17.639999999998995
2026-03-24 19:07:45+00,281.264,67.89999999999793,17.11079999999948
2026-03-24 19:07:50+00,281.26599999999996,67.19999999999857,16.934399999999638
2026-03-24 19:07:55+00,281.268,66.84999999999889,16.84619999999972
2026-03-24 19:08:00+00,281.27,66.4999999999992,16.7579999999998
2026-03-24 19:08:05+00,281.26599999999996,66.84999999999889,16.84619999999972
2026-03-24 19:08:10+00,281.26,67.54999999999825,17.02259999999956
2026-03-24 19:08:15+00,281.252,69.29999999999666,17.463599999999154
2026-03-24 19:08:20+00,281.24,71.39999999999475,17.992799999998674
2026-03-24 19:08:25+00,281.232,73.14999999999316,18.433799999998275
2026-03-24 19:08:30+00,281.218,75.24999999999324,18.962999999998296
2026-03-24 19:08:35+00,281.204,77.34999999999928,19.49219999999982
2026-03-24 19:08:40+00,281.194,79.79999999999706,20.109599999999254
2026-03-24 19:08:45+00,281.182,81.54999999999546,20.550599999998855
2026-03-24 19:08:50+00,281.178,82.94999999999419,20.903399999998538
2026-03-24 19:08:55+00,281.17,83.64999999999355,21.079799999998375
2026-03-24 19:09:00+00,281.16400000000004,85.04999999999228,21.432599999998054
2026-03-24 19:09:05+00,281.16400000000004,85.39999999999395,21.520799999998474
2026-03-24 19:09:10+00,281.16400000000004,85.04999999999427,21.43259999999855
2026-03-24 19:09:15+00,281.16600000000005,84.6999999999926,21.34439999999814
2026-03-24 19:09:20+00,281.16600000000005,84.6999999999926,21.34439999999814
2026-03-24 19:09:25+00,281.17600000000004,83.29999999999387,20.991599999998453
2026-03-24 19:09:30+00,281.18600000000004,81.54999999999546,20.550599999998855
2026-03-24 19:09:35+00,281.196,79.79999999999706,20.109599999999258
2026-03-24 19:09:40+00,281.20799999999997,77.3499999999973,19.49219999999932
2026-03-24 19:09:45+00,281.21999999999997,74.89999999999355,18.87479999999838
2026-03-24 19:09:50+00,281.232,73.14999999999316,18.433799999998275
2026-03-24 19:09:55+00,281.244,71.39999999999475,17.992799999998674
2026-03-24 19:10:00+00,281.25,69.64999999999634,17.551799999999076
2026-03-24 19:10:05+00,281.256,68.94999999999698,17.37539999999924
2026-03-24 19:10:10+00,281.264,67.54999999999825,17.02259999999956
2026-03-24 19:10:15+00,281.26599999999996,67.54999999999825,17.02259999999956
2026-03-24 19:10:20+00,281.262,67.89999999999793,17.11079999999948
2026-03-24 19:10:25+00,281.258,68.5999999999973,17.28719999999932
2026-03-24 19:10:30+00,281.252,70.3499999999957,17.728199999998914
2026-03-24 19:10:35+00,281.238,71.39999999999475,17.992799999998674
2026-03-24 19:10:40+00,281.228,73.84999999999252,18.610199999998112
2026-03-24 19:10:45+00,281.216,75.59999999999292,19.051199999998214
2026-03-24 19:10:50+00,281.204,77.34999999999928,19.49219999999982
2026-03-24 19:10:55+00,281.196,79.44999999999737,20.021399999999336
2026-03-24 19:11:00+00,281.18600000000004,80.8499999999961,20.374199999999014
2026-03-24 19:11:05+00,281.17600000000004,82.59999999999451,20.81519999999862
2026-03-24 19:11:10+00,281.172,83.99999999999324,21.167999999998294
2026-03-24 19:11:15+00,281.16600000000005,84.34999999999292,21.256199999998216
2026-03-24 19:11:20+00,281.16200000000003,85.39999999999196,21.520799999997973
2026-03-24 19:11:25+00,281.168,84.6999999999926,21.34439999999814
2026-03-24 19:11:30+00,281.17,83.99999999999324,21.167999999998294
2026-03-24 19:11:35+00,281.17600000000004,82.59999999999451,20.81519999999862
2026-03-24 19:11:40+00,281.184,81.54999999999546,20.550599999998855
2026-03-24 19:11:45+00,281.198,80.14999999999674,20.197799999999177
2026-03-24 19:11:50+00,281.206,77.3499999999973,19.49219999999932
2026-03-24 19:11:55+00,281.216,75.5999999999949,19.05119999999872
2026-03-24 19:12:00+00,281.232,73.49999999999284,18.521999999998194
2026-03-24 19:12:05+00,281.242,71.39999999999475,17.992799999998674
2026-03-24 19:12:10+00,281.25,70.3499999999957,17.728199999998914
2026-03-24 19:12:15+00,281.254,69.64999999999634,17.551799999999076
2026-03-24 19:12:20+00,281.258,68.24999999999761,17.198999999999398
2026-03-24 19:12:25+00,281.26,68.24999999999761,17.198999999999398
2026-03-24 19:12:30+00,281.256,68.94999999999698,17.375399999999235
2026-03-24 19:12:35+00,281.25,69.99999999999602,17.639999999998995
2026-03-24 19:12:40+00,281.246,71.74999999999443,18.080999999998596
2026-03-24 19:12:45+00,281.236,72.44999999999379,18.257399999998437
2026-03-24 19:12:50+00,281.22400000000005,74.1999999999922,18.698399999998035
2026-03-24 19:12:55+00,281.21400000000006,76.29999999999626,19.227599999999057
2026-03-24 19:13:00+00,281.2,78.04999999999865,19.66859999999966
2026-03-24 19:13:05+00,281.192,80.14999999999674,20.197799999999173
2026-03-24 19:13:10+00,281.182,81.19999999999578,20.462399999998937
2026-03-24 19:13:15+00,281.17600000000004,83.29999999999387,20.991599999998453
2026-03-24 19:13:20+00,281.16400000000004,84.6999999999926,21.34439999999813
2026-03-24 19:13:25+00,281.16,85.39999999999196,21.520799999997973
2026-03-24 19:13:30+00,281.15600000000006,86.09999999999332,21.697199999998315
2026-03-24 19:13:35+00,281.158,85.74999999999562,21.608999999998897
2026-03-24 19:13:40+00,281.168,85.39999999999196,21.520799999997976
2026-03-24 19:13:45+00,281.168,84.34999999999292,21.256199999998216
2026-03-24 19:13:50+00,281.18,82.59999999999451,20.815199999998615
2026-03-24 19:13:55+00,281.184,82.59999999999451,20.815199999998615
2026-03-24 19:14:00+00,281.196,79.09999999999769,19.93319999999942
2026-03-24 19:14:05+00,281.206,77.69999999999897,19.580399999999738
2026-03-24 19:14:10+00,281.22200000000004,75.59999999999292,19.051199999998214
2026-03-24 19:14:15+00,281.228,74.1999999999922,18.698399999998035
2026-03-24 19:14:20+00,281.238,72.44999999999379,18.257399999998434
2026-03-24 19:14:25+00,281.246,70.69999999999538,17.816399999998833
2026-03-24 19:14:30+00,281.252,69.29999999999666,17.463599999999154
2026-03-24 19:14:35+00,281.256,68.94999999999698,17.37539999999924
2026-03-24 19:14:40+00,281.262,68.5999999999973,17.287199999999316
2026-03-24 19:14:45+00,281.26,68.24999999999761,17.198999999999394
2026-03-24 19:14:50+00,281.256,69.29999999999666,17.463599999999154
2026-03-24 19:14:55+00,281.248,70.3499999999957,17.728199999998914
2026-03-24 19:15:00+00,281.242,71.39999999999475,17.992799999998674
2026-03-24 19:15:05+00,281.232,73.14999999999316,18.433799999998275
2026-03-24 19:15:10+00,281.22,74.89999999999355,18.874799999998377
2026-03-24 19:15:15+00,281.21200000000005,76.99999999999761,19.4039999999994
2026-03-24 19:15:20+00,281.198,78.74999999999801,19.844999999999498
2026-03-24 19:15:25+00,281.19,80.49999999999642,20.285999999999095
2026-03-24 19:15:30+00,281.178,82.24999999999483,20.726999999998696
2026-03-24 19:15:35+00,281.172,83.29999999999387,20.991599999998453
2026-03-24 19:15:40+00,281.16400000000004,83.99999999999324,21.167999999998294
2026-03-24 19:15:45+00,281.16600000000005,84.6999999999926,21.344399999998135
2026-03-24 19:15:50+00,281.16,85.74999999999164,21.608999999997895
2026-03-24 19:15:55+00,281.16400000000004,85.74999999999164,21.608999999997895
2026-03-24 19:16:00+00,281.17,83.99999999999324,21.167999999998294
2026-03-24 19:16:05+00,281.178,82.59999999999451,20.81519999999862
2026-03-24 19:16:10+00,281.18600000000004,81.54999999999546,20.550599999998855
2026-03-24 19:16:15+00,281.194,79.44999999999737,20.02139999999934
2026-03-24 19:16:20+00,281.204,78.39999999999833,19.75679999999958
2026-03-24 19:16:25+00,281.214,75.94999999999459,19.139399999998638
2026-03-24 19:16:30+00,281.22400000000005,74.89999999999156,18.874799999997872
2026-03-24 19:16:35+00,281.232,72.79999999999347,18.345599999998353
2026-03-24 19:16:40+00,281.24,72.09999999999411,18.16919999999852
2026-03-24 19:16:45+00,281.244,70.69999999999538,17.816399999998833
2026-03-24 19:16:50+00,281.244,71.04999999999507,17.904599999998755
2026-03-24 19:16:55+00,281.244,71.04999999999507,17.904599999998755
2026-03-24 19:17:00+00,281.242,71.04999999999507,17.904599999998755
2026-03-24 19:17:05+00,281.236,72.09999999999411,18.16919999999852
2026-03-24 19:17:10+00,281.232,73.84999999999252,18.610199999998116
2026-03-24 19:17:15+00,281.22,75.24999999999324,18.962999999998296
2026-03-24 19:17:20+00,281.21200000000005,75.94999999999459,19.139399999998638
2026-03-24 19:17:25+00,281.202,77.69999999999698,19.580399999999237
2026-03-24 19:17:30+00,281.196,79.09999999999769,19.933199999999417
2026-03-24 19:17:35+00,281.194,79.44999999999737,20.02139999999934
2026-03-24 19:17:40+00,281.18600000000004,81.19999999999578,20.462399999998937
2026-03-24 19:17:45+00,281.182,81.54999999999546,20.550599999998855
2026-03-24 19:17:50+00,281.18,82.24999999999483,20.726999999998696
2026-03-24 19:17:55+00,281.18,82.24999999999483,20.726999999998696
2026-03-24 19:18:00+00,281.18,82.24999999999483,20.726999999998696
2026-03-24 19:18:05+00,281.184,81.89999999999515,20.638799999998774
2026-03-24 19:18:10+00,281.194,80.14999999999674,20.197799999999177
2026-03-24 19:18:15+00,281.196,79.09999999999769,19.93319999999942
2026-03-24 19:18:20+00,281.204,78.04999999999865,19.66859999999966
2026-03-24 19:18:25+00,281.214,76.99999999999761,19.403999999999396
2026-03-24 19:18:30+00,281.22200000000004,75.59999999999292,19.051199999998214
2026-03-24 19:18:35+00,281.228,73.49999999999284,18.521999999998194
2026-03-24 19:18:40+00,281.23400000000004,72.79999999999347,18.345599999998353
2026-03-24 19:18:45+00,281.238,72.79999999999347,18.345599999998353
2026-03-24 19:18:50+00,281.238,71.74999999999443,18.080999999998596
2026-03-24 19:18:55+00,281.24,71.74999999999443,18.080999999998596
2026-03-24 19:19:00+00,281.24,71.74999999999443,18.080999999998596
2026-03-24 19:19:05+00,281.232,73.14999999999316,18.433799999998275
